sm2507,LuB20
sm2414,LuB20
sm3072,LuB20
sm3213,LuB20
sm5470,LuB20
sm4277,LuB20
sm2090,LuB20
sm937,LuB20
sm725,LuB20
sm3691,AA14
sm1455,AA14
sm3673,AA14
sm3206,AA16
sm1643,AA16
sm3491,AA16
sm1705,AA16
sm4937,AA16
sm185,AA16
sm4896,AA16
sm3680,AA16
sm4530,AA29
sm1322,AA29
sm2086,AA29
sm3368,AA29
sm2526,AA29
sm521,AA37
sm1299,AA37
sm3480,AA37
sm5805,AA37
sm3829,AA37
sm1259,AA37
sm5730,AA37
sm3449,AA37
sm4922,AA38
sm3242,AA38
sm4412,AA38
sm4517,AA38
sm331,AA38
sm706,AA41
sm5339,AA41
nm0001749,AA41
nm0001792,AA41
sm3453,AA41
sm5767,AA41
sm4412,AA41
sm5730,AA41
sm1070,AA41
sm2438,AA41
sm4185,AaB10
nm0001749,AaB10
sm1559,AaB10
nm0341743,AaB10
nm0000257,AAl6
nm0000993,AAl6
sm1326,AAl6
nm0001549,AAl6
sm5788,AAl6
sm166,AAl6
nm0000257,AAl10
nm0000323,AAl10
nm0000201,AAl10
nm0001364,AAl10
sm1981,AAl10
nm0007210,AAl10
sm915,AAl10
sm4633,AAl20
nm0000257,AAl20
sm2742,AAl20
nm0001439,AAl20
sm4291,AAl20
nm0001573,AAl20
nm0909620,AAl20
nm0949350,AAl20
nm0000724,AAn10
sm3122,AAn10
nm0520203,AAn12
sm4808,AAr10
sm5566,AAr10
nm0397212,AAr10
nm0001862,AAr10
sm2771,AAr20
nm0001613,AAr20
nm0001642,AAr20
nm0563039,AAr20
nm0913738,AAS10
sm3131,AAS10
sm5406,AAS10
nm0005386,AAt10
nm0070733,AAt10
sm1344,AbA10
sm542,ABd4
sm460,ABd4
sm5320,AbF10
sm5052,AbF10
sm5379,AbF10
nm0000686,AbF20
nm0000172,AbF25
nm0000187,AbF26
nm0000172,AbF26
nm0751638,AbF26
nm0000270,AbF27
sm5421,AbF27
nm0001159,ABi10
nm0001970,ABi10
sm3971,ABi10
nm0001250,ABi20
nm0259831,AbK15
sm3242,ABl10
sm3482,ABl10
nm0000429,ABn1
nm0727121,ABo10
sm5975,AbP10
sm5156,AbP10
sm5021,AbP10
sm5014,AbP50
sm3471,AbP50
sm5142,AbP50
nm0000983,ABr1
nm0564589,ABr1
nm0001301,ABr1
nm0000983,ABr2
sm2273,ABr2
sm2888,ABr2
nm0000985,ABr2
sm3127,ABr2
nm0001421,ABr2
sm4138,ABr2
